"","Program","PriorExp","Rexperience","OperatingSystem","TVhours","Editor"
"1","HSS","Some experience","Never used","Mac OS X",2,"Microsoft Word"
"2","HSS","Never programmed before","Never used","Windows",15,"Microsoft Word"
"3","HSS","Some experience","Basic competence","Mac OS X",16,"Microsoft Word"
"4","SDSB","Some experience","Basic competence","Mac OS X",0,"LaTeX"
"5","HSS","Never programmed before","Never used","Windows",2,"Microsoft Word"
"6","HSS","Never programmed before","Never used","Windows",5,"Microsoft Word"
"7","HSS","Some experience","Basic competence","Mac OS X",0,"Microsoft Word"
"8","SDSB","Some experience","Basic competence","Windows",4,"Microsoft Word"
"9","HSS","Some experience","Basic competence","Windows",0,"Microsoft Word"
"10","SDSB","Never programmed before","Never used","Windows",0,"Microsoft Word"
"11","SSE","Some experience","Basic competence","Windows",14,"R Markdown"
"12","HSS","Some experience","Installed on machine","Mac OS X",6,"Microsoft Word"
"13","SSE","Extensive experience","Basic competence","Windows",10,"Microsoft Word"
"14","SDSB","Some experience","Never used","Windows",15,"Microsoft Word"
"15","HSS","Some experience","Basic competence","Mac OS X",4,"Microsoft Word"
"16","HSS","Never programmed before","Installed on machine","Windows",4,"Microsoft Word"
"17","HSS","Some experience","Basic competence","Mac OS X",10,"R Markdown"
"18","HSS","Some experience","Installed on machine","Windows",7,"Microsoft Word"
"19","HSS","Some experience","Installed on machine","Mac OS X",33,"Microsoft Word"
"20","SDSB","Some experience","Never used","Windows",8,"Microsoft Word"
"21","HSS","Some experience","Basic competence","Windows",8,"Microsoft Word"
"22","SSE","Extensive experience","Installed on machine","Windows",3,"Microsoft Word"
"23","HSS","Some experience","Basic competence","Windows",0,"Microsoft Word"
"24","HSS","Some experience","Basic competence","Windows",0,"Excel"
"25","HSS","Some experience","Basic competence","Windows",0,"R Markdown"
"26","SSE","Extensive experience","R Wizard","Mac OS X",0,"LaTeX"
"27","HSS","Some experience","Basic competence","Mac OS X",6,"R Markdown"
"28","SDSB","Some experience","Installed on machine","Windows",1,"Microsoft Word"
"29","SDSB","Some experience","Installed on machine","Windows",0,"Microsoft Word"
"30","HSS","Some experience","Never used","Windows",0,"Microsoft Word"
"31","SDSB","Some experience","Never used","Mac OS X",4,"Microsoft Word"
