"","City","Country","measure","level"
"1","New York City","United States of America","AirQuality",46.8160377358491
"2","New York City","United States of America","WaterPollution",49.5049504950495
"3","Washington, D.C.","United States of America","AirQuality",66.1290322580645
"4","Washington, D.C.","United States of America","WaterPollution",49.1071428571429
"5","San Francisco","United States of America","AirQuality",60.5140186915888
"6","San Francisco","United States of America","WaterPollution",43
"7","Berlin","Germany","AirQuality",62.3641304347826
"8","Berlin","Germany","WaterPollution",28.6127167630058
"9","Los Angeles","United States of America","AirQuality",36.6216216216216
"10","Los Angeles","United States of America","WaterPollution",61.2994350282486
"11","Bern","Switzerland","AirQuality",94.3181818181818
"12","Bern","Switzerland","WaterPollution",12.5
"13","Geneva","Switzerland","AirQuality",71.5384615384615
"14","Geneva","Switzerland","WaterPollution",17.3728813559322
"15","Zurich","Switzerland","AirQuality",83.8095238095238
"16","Zurich","Switzerland","WaterPollution",10.7142857142857
"17","Basel","Switzerland","AirQuality",81.6666666666667
"18","Basel","Switzerland","WaterPollution",26.9230769230769
"19","London","United Kingdom","AirQuality",37.0422535211268
"20","London","United Kingdom","WaterPollution",40.7163742690059
"21","Cairo","Egypt","AirQuality",15.8307210031348
"22","Cairo","Egypt","WaterPollution",74.3506493506493
"23","Alexandria","Egypt","AirQuality",41.0377358490566
"24","Alexandria","Egypt","WaterPollution",71.2962962962963
"25","Alexandria","United States of America","AirQuality",89.0625
"26","Alexandria","United States of America","WaterPollution",46.1538461538462
"27","Paris","France","AirQuality",34.0243902439024
"28","Paris","France","WaterPollution",43.1216931216931
"29","Boston","United States of America","AirQuality",78.2352941176471
"30","Boston","United States of America","WaterPollution",32.9113924050633
"31","Toronto","Canada","AirQuality",65.5346820809249
"32","Toronto","Canada","WaterPollution",37.7994011976048
"33","Sao Paulo","Brazil","AirQuality",24.0566037735849
"34","Sao Paulo","Brazil","WaterPollution",73.7179487179487
"35","Vilnius","Lithuania","AirQuality",77.247191011236
"36","Vilnius","Lithuania","WaterPollution",20.5882352941176
"37","Monaco","Monaco","AirQuality",28.7878787878788
"38","Monaco","Monaco","WaterPollution",61.3636363636364
"39","Brussels","Belgium","AirQuality",35.8108108108108
"40","Brussels","Belgium","WaterPollution",44.7619047619048
"41","Poznan","Poland","AirQuality",33.0769230769231
"42","Poznan","Poland","WaterPollution",50.4237288135593
"43","Tashkent","Uzbekistan","AirQuality",56.4516129032258
"44","Tashkent","Uzbekistan","WaterPollution",49.1666666666667
"45","Warsaw","Poland","AirQuality",27.2727272727273
"46","Warsaw","Poland","WaterPollution",36.0148514851485
"47","Modena","Italy","AirQuality",39.0625
"48","Modena","Italy","WaterPollution",50
"49","Tours","France","AirQuality",84.375
"50","Tours","France","WaterPollution",6.25
"51","Singapore","Singapore","AirQuality",65.8783783783784
"52","Singapore","Singapore","WaterPollution",24.2049469964664
"53","Montreal","Canada","AirQuality",70.7602339181287
"54","Montreal","Canada","WaterPollution",36.9631901840491
"55","Cambridge","United Kingdom","AirQuality",69.8275862068966
"56","Cambridge","United Kingdom","WaterPollution",30.5555555555556
"57","Cologne","Germany","AirQuality",60.7142857142857
"58","Cologne","Germany","WaterPollution",27.7777777777778
"59","Skopje","North Macedonia","AirQuality",10.1941747572816
"60","Skopje","North Macedonia","WaterPollution",45.2631578947368
"61","Gdynia","Poland","AirQuality",49.4186046511628
"62","Gdynia","Poland","WaterPollution",48.6111111111111
