stop_id,ticket_amount,ticket_status
175978,40,overdue
63356,40,paid
92046,45,paid
173651,45,overdue
52624,65,paid
147991,47,overdue
9957,55,overdue
186564,40,50,paid
106970,45,challenged
65657,30,overdue
39104,35,challenged
134082,30,overdue
126317,30,50,overdue
79636,40,50,overdue
64869,65,overdue
195830,50,50,paid
192475,55,overdue
112336,75,overdue
21109,34,50,overdue
1326,70,50,paid
119901,35,paid
113931,35,overdue
201763,36,overdue
114684,45,paid
115384,45,overdue
182427,35,50,overdue
73891,45,50,paid
153195,60,paid
3103,45,pending
168802,80,pending
40428,60,overdue
98839,40,overdue
123569,60,challenged
86705,42,overdue
95500,45,overdue
183683,65,paid
104479,50,overdue
194521,48,overdue
164444,55,paid
59164,45,overdue
81089,45,50,overdue
67739,30,50,overdue
98923,40,paid
88593,50,50,paid
174530,24,overdue
201535,40,paid
89804,40,challenged
165364,45,paid
110221,50,paid
121625,50,overdue
12865,25,overdue
195947,55,overdue
75742,50,paid
119958,65,overdue
160015,40,paid
107659,45,overdue
14980,60,paid
192515,50,paid
199691,55,50,overdue
70357,35,50,overdue
24822,55,overdue
112443,37,overdue
23900,90,overdue
42294,35,pending
77259,37,overdue
130768,40,50,overdue
57257,40,paid
5438,20,overdue
180491,50,50,overdue
140792,60,overdue
75334,23,overdue
129074,70,paid
49838,75,overdue
34172,30,50,overdue
124470,55,paid
62566,55,50,pending
53482,40,pending
121820,50,paid
33354,40,overdue
97639,32,50,overdue
54308,65,overdue
125127,60,challenged
131495,50,paid
182456,80,challenged
1936,20,paid
160489,35,overdue
155392,35,paid
64709,65,paid
78185,55,50,overdue
107735,30,50,overdue
166238,60,50,overdue
128589,40,50,paid
111344,25,overdue
120516,30,challenged
57495,40,paid
9307,35,overdue
104173,35,overdue
75626,55,overdue
98459,24,overdue
88992,30,paid
163190,45,pending
197066,45,50,overdue
171034,45,paid
24478,45,overdue
167398,30,50,overdue
18790,40,paid
86255,70,overdue
79465,30,50,paid
163680,55,50,pending
11366,45,overdue
62649,45,50,overdue
68881,40,overdue
45363,65,challenged
87591,55,paid
8433,45,paid
67256,40,overdue
440,29,overdue
24138,35,paid
58636,45,overdue
181764,50,overdue
168021,31,overdue
713,75,overdue
108935,55,50,overdue
90311,35,50,challenged
173050,57,overdue
172165,100,paid
23408,40,overdue
86200,85,overdue
47162,50,paid
131994,80,paid
202107,50,challenged
176080,45,paid
71230,45,overdue
170479,45,50,overdue
106315,60,50,paid
143445,45,overdue
136548,30,overdue
201849,33,overdue
32008,40,50,overdue
58821,55,paid
123789,25,paid
16392,55,paid
162312,35,50,overdue
137431,60,overdue
30446,35,overdue
56772,55,overdue
190290,34,overdue
12169,55,pending
28615,27,overdue
135136,35,overdue
158620,70,overdue
115580,12,50,overdue
41869,44,overdue
197245,60,overdue
183999,29,50,overdue
171953,15,overdue
183409,20,paid
182647,50,50,paid
5134,35,overdue
58007,55,overdue
52944,27,50,overdue
7351,35,50,challenged
42796,35,50,overdue
126519,45,50,paid
20290,40,overdue
16219,13,overdue
177195,60,50,overdue
136384,55,overdue
113497,28,overdue
95274,65,paid
105686,105,50,overdue
71528,36,overdue
124081,40,paid
163303,80,overdue
151191,30,50,pending
62731,35,overdue
166791,39,50,overdue
176148,55,overdue
50013,40,50,overdue
47869,60,50,overdue
17770,28,overdue
15209,60,50,paid
67357,30,50,paid
80497,55,overdue
3765,50,overdue
140353,35,overdue
184233,60,paid
153541,38,overdue
176956,55,paid
112625,55,challenged
122919,44,overdue
93177,35,overdue
66997,50,paid
9309,50,overdue
19348,50,50,overdue
131072,30,overdue
111449,45,paid
73210,25,overdue
43305,55,50,overdue
164427,45,overdue
80180,27,overdue
200955,45,overdue
134304,50,overdue
37625,30,paid
80675,22,overdue
150191,45,50,challenged
63881,55,overdue
60471,20,overdue
169487,60,50,overdue
199525,30,50,overdue
78467,55,overdue
70544,35,challenged
42630,45,overdue
117030,45,50,paid
106798,40,pending
110872,55,paid
161936,35,50,pending
107938,41,overdue
43460,35,50,challenged
79710,45,overdue
30508,42,50,overdue
86470,47,50,overdue
11363,45,challenged
165104,45,50,paid
141702,20,paid
154471,65,overdue
45123,50,50,paid
108079,35,paid
87353,33,overdue
125041,50,pending
94882,30,50,overdue
33429,40,overdue
91647,50,50,challenged
123803,50,paid
86452,50,overdue
73513,60,overdue
89714,29,overdue
51389,60,overdue
173046,55,overdue
113878,39,overdue
151788,50,paid
133747,35,challenged
180530,35,50,paid
24004,50,paid
85231,55,overdue
119414,45,50,challenged
45621,70,overdue
172348,60,overdue
104291,24,overdue
54107,30,overdue
40860,50,overdue
51193,25,overdue
84715,55,overdue
69087,30,overdue
10878,95,overdue
184002,50,overdue
87122,35,challenged
184756,35,50,challenged
126667,35,paid
20673,30,overdue
12204,24,50,overdue
150203,55,paid
186015,40,50,overdue
113992,70,50,overdue
17697,60,overdue
49803,45,paid
40720,55,50,paid
163802,50,overdue
90428,30,50,overdue
168978,95,paid
90488,55,overdue
60993,55,50,overdue
169748,14,50,overdue
39675,85,50,paid
116677,60,paid
35369,50,challenged
175033,65,paid
140844,55,overdue
150652,45,paid
152287,60,overdue
192535,50,overdue
61429,40,paid
158778,50,overdue
48915,50,overdue
124482,50,overdue
9619,90,overdue
164039,38,overdue
98552,35,overdue
171295,45,paid
17152,45,paid
132886,31,50,overdue
59816,55,paid
113794,40,overdue
99711,20,challenged
59504,47,50,overdue
188741,40,overdue
89818,50,paid
140495,85,paid
116211,35,paid
197425,35,50,paid
91657,60,50,overdue
35134,26,50,overdue
86091,60,paid
161856,25,overdue
151852,45,overdue
39390,95,paid
52959,45,overdue
23355,36,overdue
117666,45,overdue
169044,51,overdue
164483,35,paid
48135,35,paid
183378,40,paid
86558,65,pending
189805,50,50,paid
48608,70,paid
10100,70,overdue
114367,30,50,overdue
47228,35,50,overdue
32903,55,overdue
2221,29,overdue
147664,30,50,overdue
32021,40,challenged
43214,35,pending
28544,14,overdue
163981,60,pending
29907,40,50,pending
31296,35,overdue
131904,38,overdue
66346,52,overdue
82242,12,overdue
25898,33,overdue
115319,70,paid
76769,55,challenged
16956,25,paid
4114,35,50,paid
5254,65,challenged
151905,45,overdue
107846,25,challenged
95241,70,overdue
26617,40,paid
59478,40,overdue
89788,45,50,overdue
73284,39,overdue
170974,35,challenged
172278,45,pending
75879,70,overdue
195962,30,50,pending
26419,75,overdue
36917,30,50,overdue
173975,65,overdue
55340,60,50,overdue
94471,35,overdue
160648,50,overdue
36896,35,paid
173993,60,paid
28641,55,paid
34225,20,50,overdue
26155,50,overdue
15889,75,paid
140740,35,overdue
85317,55,paid
188572,45,overdue
127024,55,paid
25005,29,overdue
59274,55,paid
92580,50,paid
187754,55,50,overdue
172287,40,50,paid
42394,30,overdue
70407,35,50,paid
149656,40,paid
33286,45,50,paid
151366,80,paid
65825,39,overdue
134189,30,50,paid
172250,40,paid
179203,65,challenged
69478,60,50,paid
169792,31,overdue
198239,47,overdue
47227,50,overdue
165774,35,50,overdue
132825,100,overdue
62097,55,overdue
183341,40,overdue
103959,60,overdue
112634,30,50,challenged
97581,60,50,paid
145754,35,challenged
15041,60,challenged
120985,45,paid
179178,45,overdue
110433,45,50,overdue
102687,65,paid
86318,75,50,paid
41573,70,overdue
182898,45,50,paid
113516,70,50,challenged
69698,65,50,overdue
167001,40,50,challenged
88808,45,50,paid
146716,50,overdue
62917,60,overdue
49973,80,paid
127391,60,paid
135833,60,overdue
117514,80,overdue
180461,40,paid
149734,17,overdue
16430,45,overdue
125261,54,overdue
171054,59,overdue
164622,30,overdue
189214,45,challenged
21262,38,overdue
167056,50,50,paid
44465,50,overdue
122807,40,pending
200203,60,challenged
151777,55,challenged
121065,30,overdue
139439,35,50,challenged
68811,60,paid
179408,30,pending
141452,45,overdue
67408,50,challenged
145315,65,overdue
195598,45,overdue
110232,80,50,overdue
