stop_id,income
97294,26305
87077,77578
57432,80185
121675,98784
37238,9350
199246,31981
191139,42301
153865,52278
90007,21719
111167,34801
193483,39662
193732,153616
47749,81168
147297,44457
173566,62564
34773,25605
136760,91498
11199,61948
38299,34935
134304,41111
162590,29943
160430,58312
62794,25294
79775,36932
135126,30152
150928,14916
41300,23608
19374,74264
165578,14747
145659,40473
41936,24034
111653,50294
124963,21361
9050,23467
122899,9138
177874,61683
186036,35259
177349,31439
3498,44063
153910,21504
177688,72795
34026,41212
92845,20459
82659,36770
94777,31478
125857,16439
161374,19650
133628,7829
81660,42105
166513,17904
11320,37196
164435,87239
46918,39891
66536,69985
54275,42689
167882,62413
49511,28156
34489,32330
68088,49374
112296,41760
62289,16693
171755,53767
119640,43968
197207,24185
100207,52321
170474,17305
42386,59193
157136,22356
58392,34888
17436,29111
106538,68432
8061,55680
158711,37157
115713,46040
132949,28838
135273,38519
167782,25341
10427,34141
79424,32863
41869,29638
200591,52221
24626,35520
33028,18377
113553,72065
1223,56865
81785,19488
120062,38024
97282,58038
164062,18808
160765,40255
110965,68236
14914,35798
64272,36785
23083,34503
93131,26980
173479,10201
25229,36797
34760,20004
148211,12917
184460,51362
80049,13233
158484,36387
112869,43021
106253,47852
23227,61458
171577,27009
180305,57217
125045,14723
93267,33017
96595,58793
51033,45610
179397,68592
161420,28893
158894,62869
65471,89248
56471,58231
123534,25691
27451,14579
86753,78819
17541,50236
128053,12996
160896,38254
168480,25048
112212,15500
42910,41271
78987,32419
42221,51724
140872,46940
169746,64906
48937,20075
84735,17212
85810,46098
105572,23368
131248,31257
16654,81525
112008,38584
54717,60701
102849,41937
93619,23625
37129,42091
50801,60688
105266,77748
172741,17773
23439,57695
57752,37358
83376,26964
5299,40690
197719,62725
51467,40872
176809,36496
187923,40661
117890,11999
65165,38795
145390,56072
77920,57143
35084,29357
192757,33395
163825,10960
75007,39213
95389,30756
1187,16710
139973,19327
3225,23551
176937,26960
168105,31533
1647,89191
141880,33222
82449,11347
132241,18123
2450,73968
192109,40140
23667,31292
134940,34734
189499,30419
90926,22004
146254,18318
170389,50851
173965,24693
136354,23178
83831,86978
60625,25404
80363,37439
10385,25272
112667,26900
180537,25085
145410,44312
153753,34398
60164,59659
143424,22968
18195,27799
29681,30479
55676,39535
140014,32722
184968,23331
39741,40909
75397,47926
114916,14404
57312,32045
37107,44786
7725,37465
119909,28406
96103,26494
105855,23103
76350,18905
162359,46301
19673,42966
191616,35801
182343,34708
73600,62340
167887,9074
65367,66667
152625,85198
122351,67030
53080,73581
168223,74753
87900,23844
179504,6167
107166,52807
61653,57541
101700,30907
186931,46150
103207,15940
8125,54102
182477,26387
135231,54261
139152,26740
200139,54563
96079,78210
4157,50453
36832,17201
119606,14215
53969,26030
142741,24435
44684,22819
62931,16879
199792,36690
13585,36919
53185,52543
51334,69697
49194,22923
106320,52515
200946,36087
98442,30695
77424,16902
170877,47395
8996,31907
191113,26212
85260,62373
149127,31738
124649,20158
8656,31472
107870,57620
68706,42658
157692,36080
121240,32926
171564,26225
71601,29036
43764,42179
173526,57231
185525,42454
80914,44621
42333,31857
98026,50272
187158,6774
163322,30093
183569,64704
131241,26360
81435,14939
48642,56317
55256,25355
129305,48487
90670,40281
193920,42640
43440,70572
166517,52845
142137,59179
41746,14105
17422,52082
163502,35985
183788,65854
30009,24789
201763,20426
182943,38119
8029,24055
16423,55753
152003,99101
102602,94125
167952,20138
59494,32691
64964,59115
1412,16252
32515,26350
200114,41035
175706,14571
74172,54138
181946,26236
13372,31384
82430,46617
