stop_id,officer_id,stop_date,driver_age,driver_sex,ticket
51554,C,2017-07-10,16.0,f,True
61001,A,2017-03-19,28.0,f,True
185866,A,2017-06-01,16.0,f,True
107723,A,2017-03-13,57.0,f,False
96921,B,2017-08-02,16.0,m,True
190446,E,2017-05-18,69.0,m,False
199132,D,2017-05-26,20.0,f,True
165324,B,2017-05-08,35.0,f,False
2120,E,2017-06-26,32.0,m,True
114682,B,2017-07-01,25.0,f,False
195218,E,2017-05-12,62.0,f,False
108014,D,2017-08-14,16.0,f,False
173259,C,2017-05-12,16.0,f,True
77554,A,2017-04-11,16.0,f,True
85971,B,2017-05-10,36.0,f,True
108616,E,2017-08-22,32.0,m,False
142064,E,2017-03-12,16.0,f,True
41956,E,2017-08-06,23.0,f,True
101890,E,2017-05-25,58.0,f,True
81626,A,2017-08-17,33.0,m,True
99792,C,2017-07-17,42.0,m,False
92390,A,2017-06-03,16.0,m,True
24537,B,2017-04-22,35.0,m,True
95684,C,2017-03-13,47.0,m,True
36222,A,2017-04-21,63.0,m,False
62120,A,2017-05-03,52.0,m,True
119129,A,2017-06-27,43.0,f,True
196823,E,2017-04-07,16.0,f,True
188325,E,2017-06-15,26.0,m,True
185674,A,2017-03-18,25.0,m,True
152582,C,2017-08-03,31.0,m,True
108623,B,2017-07-17,56.0,f,False
175346,D,2017-04-27,77.0,f,False
30605,D,2017-04-01,16.0,m,True
178880,D,2017-05-02,45.0,m,True
62355,D,2017-08-11,47.0,f,True
23862,B,2017-04-15,47.0,m,True
68929,B,2017-08-10,53.0,f,True
98812,E,2017-07-05,24.0,m,False
152666,B,2017-06-05,16.0,m,True
25121,B,2017-07-26,16.0,m,True
66355,E,2017-04-09,26.0,f,True
92690,B,2017-05-24,39.0,f,True
94355,C,2017-05-01,34.0,m,True
201692,E,2017-04-15,63.0,m,False
64511,D,2017-03-22,79.0,m,True
155023,B,2017-07-08,25.0,f,True
140549,D,2017-07-10,38.0,m,True
35005,E,2017-03-07,26.0,m,False
129732,E,2017-04-18,62.0,m,False
22475,B,2017-06-13,35.0,m,True
163724,A,2017-03-10,46.0,f,True
163086,A,2017-07-07,31.0,f,False
44290,B,2017-06-09,19.0,f,True
37026,B,2017-07-15,16.0,f,True
69001,E,2017-06-25,43.0,f,True
200476,D,2017-05-16,16.0,m,False
97142,A,2017-05-08,71.0,f,True
126435,E,2017-08-23,16.0,f,True
173292,E,2017-07-07,28.0,f,False
145495,B,2017-06-04,52.0,m,True
174986,A,2017-07-22,16.0,f,True
14943,A,2017-06-19,16.0,m,False
45049,C,2017-08-19,65.0,f,False
107572,A,2017-07-12,70.0,m,False
10698,E,2017-03-29,44.0,f,False
8463,E,2017-04-09,16.0,f,True
24040,E,2017-07-11,42.0,f,True
62191,A,2017-04-16,19.0,f,True
