stop_id,ward
89757,1
142452,8
118338,8
154225,3
196683,8
199101,2
168005,4
121619,6
128631,6
43909,4
181258,2
17158,3
22471,6
122465,8
137860,6
135604,8
12517,1
99903,2
1375,7
118994,5
15830,6
192810,2
139476,4
193697,8
13958,5
201793,7
40003,8
85802,8
199177,1
27381,7
24964,2
11607,3
161094,5
164862,3
152427,1
102858,1
29026,8
127110,2
171357,5
59025,1
125896,3
143584,4
158501,4
100526,5
101706,6
110808,5
44724,2
51188,6
14429,7
84019,7
153162,4
175368,7
150727,6
50712,6
41505,3
56406,1
84869,3
176828,8
185793,5
50338,4
89728,5
133768,1
103939,4
114532,8
147986,6
201077,8
173903,8
169371,5
74381,2
194079,2
179331,3
153356,4
24315,5
152029,1
141504,2
164673,7
75578,3
41789,2
110083,8
77484,2
56818,5
79916,4
131755,3
25031,4
41428,7
165231,1
15890,3
59541,6
2080,1
153911,5
58331,2
79013,1
124128,5
21808,1
63642,8
155190,2
57406,2
82123,5
186148,2
146563,6
124777,7
96490,2
82999,7
168211,4
10291,6
34636,2
123119,5
55528,8
5231,3
37970,5
38335,2
104068,3
32781,2
99986,3
15343,7
2704,8
152692,7
178108,6
40622,1
40159,3
97493,5
24766,3
91639,7
126278,2
114965,3
21949,5
176419,8
57120,7
200669,1
105305,1
172096,4
171802,3
49800,1
158798,2
18694,1
188076,3
29534,7
114878,2
142302,5
56958,1
113163,4
50008,3
189757,1
86335,5
185296,7
175301,4
175553,4
26553,1
4891,7
147400,1
73972,2
48295,1
24676,3
90877,5
50979,2
124581,1
105538,4
66307,5
1681,4
138762,4
70400,6
94088,7
132440,4
194882,7
7792,8
23382,1
41810,6
4150,6
75315,6
62144,4
24419,5
82854,8
139974,8
136978,8
150424,7
162196,1
114760,5
182766,8
146461,5
68990,6
169497,7
65559,3
179290,8
185258,8
156268,8
23319,3
152984,5
69369,5
136439,7
140492,1
181961,4
169218,8
177684,1
137182,4
104724,2
64832,6
19008,1
138781,8
190664,4
152599,6
129448,6
149301,1
46441,1
113009,2
12551,3
47070,7
70983,4
71607,3
30382,7
183159,7
97950,5
66023,4
157213,5
170475,5
188482,8
16243,1
182042,4
71997,6
1720,5
6129,4
128405,6
95031,8
83227,3
93002,6
202064,6
100891,1
31267,3
180627,5
94312,2
128196,1
57493,3
88475,4
117590,8
138523,3
88733,4
19601,2
158564,7
62553,5
141886,3
184474,5
12727,6
101807,4
71534,4
122139,8
110892,8
81061,8
123343,8
149981,4
44533,8
108463,4
181410,3
78033,5
176752,4
122941,3
125824,8
174354,6
159364,6
15489,5
187120,7
91140,2
30636,3
172234,1
144619,2
163085,2
39554,7
50586,3
75909,1
194072,3
115897,6
58636,3
165863,5
92827,7
50851,4
197115,5
58898,3
126503,3
10978,8
180768,8
162546,6
129690,7
113457,8
60128,6
155980,6
106551,7
96212,3
102308,8
153274,8
65633,5
102195,3
124348,2
188376,5
57794,8
36706,4
157714,7
59896,1
99437,1
72756,1
58867,6
3373,5
80160,6
178772,5
110284,7
122778,6
190422,1
49326,6
65549,5
100812,7
38602,5
136766,3
175738,3
16529,5
108362,5
112385,3
175313,5
72234,7
75653,7
28578,8
24798,8
88115,1
66143,2
96129,3
5925,2
42070,3
106182,5
80831,1
45089,2
89420,2
99930,3
14307,8
51282,7
19269,3
99411,6
182466,5
57905,2
193090,8
34008,8
138747,3
152609,5
49869,1
49861,6
54015,4
130245,5
50558,3
147834,1
185202,4
9704,5
27221,5
119574,4
3450,1
25957,7
166992,5
71249,4
154649,8
123156,3
2334,3
42158,8
182715,2
172214,1
80728,2
163789,7
154213,4
27347,1
152825,3
10298,6
180461,8
169131,2
46017,6
163226,8
71304,3
24698,6
159236,3
67192,3
20671,6
88289,1
28535,6
165133,8
121145,8
104521,5
102165,5
113962,2
25660,5
150166,1
135770,4
168299,5
86701,1
145263,7
81804,7
185472,7
194384,4
55201,5
60920,2
11064,5
156180,1
57372,7
164529,1
176600,1
112394,2
31196,8
109484,8
87347,6
152786,8
50112,4
43544,3
23474,2
68508,2
41525,5
87171,2
19595,4
113300,2
98568,3
68649,5
40763,7
201720,4
129701,6
48430,5
184881,7
59556,4
90822,4
196528,3
112117,1
148599,7
161427,8
113965,6
38126,4
151386,4
14492,6
174112,1
188283,1
180904,3
129324,5
112620,5
194640,5
79901,3
115702,2
191069,8
111540,5
131006,8
56949,3
134126,1
25193,8
178059,8
68595,4
41618,7
28537,6
71862,7
69307,7
46357,2
95694,5
92053,3
8657,6
59655,8
29459,3
100879,5
181104,4
94277,3
172011,8
41216,7
112857,4
157888,5
64896,8
197992,4
71883,2
170996,1
32755,8
70048,2
120723,3
34087,5
128729,8
69959,3
126195,5
64804,8
100988,6
117594,1
196527,4
82338,5
16498,7
4582,3
69393,8
189804,5
148779,8
31217,2
51320,5
135975,7
156799,2
201296,2
75202,1
70647,1
121894,3
94675,4
187231,3
143191,7
136651,5
156394,4
36726,7
165134,7
144417,4
136559,8
140582,2
21186,1
52162,6
181352,3
105648,6
123749,2
22766,3
51126,2
95090,8
183460,1
171056,8
6787,5
66682,1
26573,1
39981,5
15533,8
12559,5
187934,4
12602,2
12284,5
14249,4
91580,1
158020,8
181935,3
82093,5
27387,2
27039,2
192757,2
15451,6
76721,5
147332,6
189148,5
50497,1
92481,2
106525,1
880,3
152635,7
90492,3
186564,7
897,3
100821,1
65176,7
114206,4
187128,5
105286,7
28285,6
20873,7
57624,6
16798,8
78843,1
128393,6
58060,2
159014,2
162386,1
103037,8
180270,4
167783,3
157504,2
191185,1
45825,8
160704,6
197915,5
48312,5
20105,4
137560,5
90571,7
42062,5
146872,3
25641,2
56705,3
68505,3
137486,1
164182,7
132404,7
186473,4
99163,4
182704,8
117907,7
76169,7
134934,1
79834,1
83814,8
108673,4
149226,6
30112,2
192895,3
159756,1
38816,4
41070,8
97045,5
128047,5
94991,5
101178,5
188958,4
160120,7
4154,2
16462,4
147317,5
87144,2
50063,2
45404,3
71254,6
169440,2
66134,3
4861,3
26613,4
25751,3
114560,8
168257,7
113089,6
192523,2
17563,1
6542,5
3160,2
186634,2
130393,1
9202,7
117027,1
202162,7
190767,5
137733,6
113992,6
9050,2
4285,5
78457,7
163606,4
183223,3
148981,3
119152,8
119658,5
117325,4
195101,7
28507,3
137593,2
24474,5
157199,8
8733,1
79870,2
3996,8
100496,7
79855,6
61736,2
194298,2
39851,3
101761,6
170061,6
142544,4
115894,3
65763,3
94635,4
178106,6
173843,2
16029,7
11059,7
119893,7
90755,1
95475,8
24414,5
67683,1
125270,3
149484,8
187520,8
102173,2
121034,2
121040,6
13554,7
126475,6
147000,7
47227,2
194496,4
185491,6
130312,8
134884,7
68267,1
117882,8
174990,8
127774,1
18596,1
80248,3
76769,5
157014,7
162731,7
98810,3
34735,8
16107,3
109136,6
63996,8
108703,7
197491,7
152753,5
35906,8
18841,5
135403,8
66173,5
182231,5
54886,7
132861,2
16049,1
16584,3
49987,7
54624,2
45237,4
136712,7
182494,6
18307,3
133580,7
134184,4
172929,5
21435,4
9266,6
92734,7
24238,6
161168,5
17382,5
180951,1
191690,6
53381,6
80483,3
201763,8
11629,8
120734,1
74353,4
94431,1
41932,3
74366,8
179242,4
71059,5
109454,8
201373,8
136340,1
127134,8
130930,3
180099,3
87346,8
12669,3
117095,3
123026,8
83309,1
164934,6
78993,7
83452,2
62766,2
197318,3
24922,7
180453,7
182115,4
88423,3
60264,4
181447,5
98783,1
15518,6
180090,3
26116,6
58777,4
86917,5
64028,4
82884,3
123334,4
44160,2
188942,6
167872,5
105266,8
35053,7
124105,2
6174,4
